Price,Close,High,Low,Open,Volume
Ticker,SPGI,SPGI,SPGI,SPGI,SPGI
Date,,,,,
2000-01-03,18.66510581970215,19.503538380587166,18.36566561938607,19.483575700566096,778600
2000-01-04,17.806703567504883,18.56528510961832,17.806703567504883,18.50539709313568,1267800
2000-01-05,17.567155838012695,18.02629741105166,17.36752906712619,17.766782608899202,2723000
2000-01-06,17.08804702758789,17.706889852185117,17.08804702758789,17.686927180423915,1864000
2000-01-07,17.247751235961914,17.627042061752743,17.06808716058731,17.12797518571218,3660000
2000-01-10,18.44550895690918,18.78487438144106,17.427412683313545,17.527226043469977,1735200
2000-01-11,18.545320510864258,18.844760562169924,18.365656480080858,18.844760562169924,1713400
2000-01-12,18.68505859375,18.90464795756544,18.365655882745727,18.525357238247864,1228800
2000-01-13,19.543468475341797,19.703169954200565,18.724998396190607,18.7649237659053,1551400
2000-01-14,18.76491355895996,19.64327121491128,18.48543612297545,19.463607148921238,1548000
2000-01-18,18.146074295043945,18.5054024989062,18.046260905082207,18.36566375295977,978400
2000-01-19,18.425554275512695,18.605218401709458,18.20596478793887,18.285815510692988,903800
2000-01-20,18.365663528442383,18.72499172791191,18.205962106455928,18.50540227268053,705200
2000-01-21,18.605207443237305,18.66509545002884,18.086178051043987,18.365655416071156,802400
2000-01-24,17.94645118713379,18.52536896736391,17.627048273903377,18.52536896736391,720600
2000-01-25,17.647016525268555,18.245897176578573,17.54720308338355,18.10615835793957,1083200
2000-01-26,18.824804306030273,19.084319105583184,17.926483846039435,18.126110614926287,1824200
2000-01-27,19.04439353942871,19.22405762942332,18.445513239446676,18.565289299443084,1752400
2000-01-28,18.605207443237305,19.064348828639083,18.525356767515255,18.724983456820375,1287800
2000-01-31,17.90651512145996,18.52535789600317,17.90651512145996,18.485432555710062,892000
2000-02-01,17.90651512145996,18.305768524391066,17.846627111020297,18.10614182292551,944000
2000-02-02,18.405590057373047,18.52536613149912,18.12611255107888,18.12611255107888,882000
2000-02-03,18.80483055114746,18.964531872176316,18.34568925318951,18.40557724857533,1086400
2000-02-04,18.365663528442383,18.944581183143285,18.26585013970085,18.824805116653444,843000
2000-02-07,17.94645118713379,18.385630192825605,17.94645118713379,18.086189961672094,809200
2000-02-08,17.926485061645508,18.365663982977583,17.886559705160774,18.026298452857343,1893400
2000-02-09,17.607072830200195,17.926475511927183,17.08804347239384,17.926475511927183,1887200
2000-02-10,17.726858139038086,17.886559563714105,17.367529933517044,17.567156714362067,1110800
2000-02-11,17.607072830200195,17.926475511927183,17.4473714893367,17.926475511927183,1109800
2000-02-14,17.567155838012695,17.826670640165155,17.46734245256944,17.567155838012695,1030200
2000-02-15,17.00819206237793,17.347557396955892,16.748677394759486,17.24774406325649,1461400
2000-02-16,16.76863670349121,16.948300668171473,16.588972738810945,16.848487354460215,1393800
